"Location,1950–1955,1955–1960,1960–1965,1965–1970,1970–1975,1975–1980,1980–1985,1985–1990,1990–1995,1995–2000,2000–2005,2005–2010,2010–2015"
"Equatorial Guinea,34.48,35.99,37.49,38.99,40.50,42.04,45.54,47.21,49.35,51.75,53.57,54.93,56.84"
"Eritrea,34.08,36.68,40.08,42.15,44.11,45.91,47.33,48.68,50.77,53.96,56.68,60.70,63.42"
"Estonia,61.77,66.92,69.38,70.31,70.27,69.43,69.32,70.34,68.50,69.42,71.59,73.77,76.76"
"Eswatini,41.44,43.47,45.05,46.69,49.61,52.61,56.15,59.66,59.44,52.50,45.93,48.41,54.99"
"Ethiopia,34.08,36.68,40.08,42.14,43.52,44.26,43.52,46.15,48.06,50.70,53.61,59.08,63.69"
"Micronesia,54.58,56.58,58.58,60.58,62.67,64.77,65.35,65.93,66.49,67.06,67.58,68.35,68.79"
"Fiji,52.21,54.70,56.92,58.93,60.71,62.23,63.67,64.93,66.05,67.07,67.96,68.79,69.72"
"Finland,66.40,68.19,69.07,69.72,70.93,72.71,74.33,74.79,75.84,77.14,78.40,79.55,80.70"
"France,67.05,69.20,70.66,71.33,72.32,73.50,74.63,75.94,77.20,78.29,79.44,80.82,81.89"
"French Guiana,53.33,56.16,59.50,64.40,65.78,66.50,69.21,71.09,72.75,74.24,76.12,77.98,79.18"
"French Polynesia,48.94,54.86,57.10,59.26,61.03,62.82,66.28,67.98,69.47,71.46,73.17,75.01,76.14"
"Gabon,37.00,39.00,40.50,44.65,48.78,52.91,57.03,60.70,61.01,60.03,59.07,61.34,64.45"
"Gambia,30.24,31.52,32.79,35.78,40.04,44.21,48.20,51.33,52.85,54.91,56.92,58.83,60.31"
"Georgia,60.65,62.65,64.65,66.65,68.15,69.64,69.63,70.45,70.11,71.09,72.60,72.65,72.74"
"Germany,67.52,68.91,69.97,70.66,71.15,72.30,73.65,74.99,75.99,77.32,78.63,79.74,80.45"
"Ghana,42.17,44.66,46.90,48.62,50.03,51.60,53.05,55.31,57.75,56.98,57.49,60.03,61.68"
"Greece,65.75,67.15,69.25,70.10,71.81,72.83,74.50,75.63,77.39,78.08,79.11,80.02,80.62"
"Grenada,56.34,58.91,61.12,63.00,64.58,65.93,67.11,68.12,69.01,69.83,70.89,72.00,73.17"
"Guadeloupe,53.32,57.15,60.57,63.59,66.22,68.62,70.79,72.77,74.61,76.30,77.87,79.36,80.54"
"Guam,57.20,59.72,62.25,64.59,66.69,68.49,70.01,71.35,72.55,74.10,75.92,77.35,78.84"
"Guatemala,42.92,45.46,48.01,50.93,53.97,56.19,58.41,60.99,63.61,66.56,68.95,70.51,72.44"
"Guinea,33.07,34.33,35.38,36.14,37.43,39.87,43.05,47.92,51.28,51.61,51.31,55.45,57.93"
"Guinea-Bissau,35.88,37.19,38.63,40.60,42.48,44.49,46.60,48.18,49.99,51.81,52.68,54.18,56.00"
"Guyana,58.83,59.80,60.69,61.55,61.95,62.30,62.66,63.00,63.69,64.53,65.24,65.79,66.25"
"Haiti,37.48,40.62,43.53,46.22,48.10,50.07,51.65,53.73,55.43,57.13,58.34,60.23,62.29"
"Honduras,41.80,44.60,48.03,51.07,54.12,57.74,61.62,65.49,67.77,69.92,71.05,72.01,72.89"
"Hong Kong,63.10,65.85,68.83,70.85,72.48,73.73,75.63,76.97,78.05,79.99,81.44,82.43,83.41"
"Hungary,64.01,66.91,68.79,69.45,69.41,69.59,69.08,69.42,69.41,70.88,72.54,73.74,75.40"
"Iceland,72.23,73.22,73.50,73.65,74.20,76.34,76.85,77.61,78.53,79.11,80.69,81.40,82.19"
"India,36.62,39.65,42.73,46.02,49.39,52.54,54.93,56.73,59.18,61.57,63.54,65.57,67.57"
"Indonesia,43.49,47.00,50.20,53.09,55.93,58.46,60.66,62.38,64.16,65.78,66.68,67.67,68.60"
"Iran,40.58,43.50,46.38,49.18,52.67,56.71,51.99,59.97,66.87,69.04,71.12,72.73,75.06"
"Iraq,37.93,44.92,50.88,56.36,59.51,61.72,59.00,64.32,67.39,69.07,68.88,68.02,69.19"
"Ireland,66.90,69.16,70.14,70.76,71.23,72.00,73.18,74.22,75.34,76.03,77.83,79.69,80.86"
"Israel,68.88,70.04,70.98,71.77,72.58,73.53,74.63,75.94,77.22,78.32,79.56,80.94,81.91"
"Italy,66.52,68.44,69.68,70.93,72.22,73.55,74.87,76.38,77.47,78.80,80.28,81.51,82.35"
"Ivory Coast,32.14,35.09,38.64,41.64,45.79,49.24,51.59,52.77,51.44,46.68,49.19,51.70,54.37"
"Jamaica,58.61,62.73,65.72,67.61,69.01,70.73,72.03,72.12,72.01,72.07,72.79,74.19,75.45"
"Japan,62.80,66.41,69.16,71.41,73.28,75.40,77.01,78.53,79.42,80.51,81.80,82.66,83.28"
"Jordan,46.51,50.66,54.60,58.38,61.85,64.94,67.23,69.15,70.41,71.27,72.17,73.01,73.81"
"Kazakhstan,55.06,57.31,59.50,61.66,63.25,64.29,65.88,67.49,65.45,62.98,64.55,66.03,69.06"
