Name, Country, Age, Death_year, Death_cause
Alison_Des_Forges, United States, 67, 2009, Colgan Air Flight 3407
Alison_Roberta_Noble_Neilans, United Kingdom, 58, 1942, Unknown
Alix_Kilroy, United Kingdom, 96, 1999, Unknown
Allan_Horsfall, Unknwon, 85, 2012, Unknown
Almena_Lomax, United States, 96, 2011, Unknown
Alonzo_Conant, Unknwon, 48, 1962, Unknown
Alton_Lemon, Unknwon, 85, 2013, Unknown
Am_Rong, Cambodia, 46, 1975, Unknown
Amalie_Øvergaard, Cambodia, 46, 1960, Unknown
Amar_Shahid_Bandhu_Singh, Cambodia, 46, 1857, Unknown
Ambika_Charan_Choudhury, Unknwon, 81, 2011, Unknown
Ambrosius_Haingura, Namibia, 43, 2000, Unknown
Amelia_Bloomer, Namibia, 43, 1894, Unknown
Antony_Grey, Unknwon, 83, 2010, Unknown
Antun_Maqdisi, Syria, 91, 2005, Unknown
António_Sérgio, Portugal, 86, 1969, Unknown
Archie_Barton, Australia, 72, 2008, Unknown
Ardashes_Harutiunian, Australia, 72, 1915, Unknown
Ardian_Klosi, Albania, 55, 2012, Unknown
Ariel_Serena_Hedges_Bowen, Albania, 55, 1904, Unknown
Arizona_Fleming, United States, 92, 1976, Unknown
Armin_D._Lehmann, Germany, 80, 2008, Unknown
Arne_Husveg, Norway, 71, 2004, Unknown
Arnold_Juklerød, Norway, 71, 1996, Unknown
Arthur_Bell_(journalist), United States, 45, 1984, Unknown
Arthur_Fauset, United States, 84, 1983, Unknown
Arthur_Gish, United States, 71, 2010, Unknown
Arthur_James_Wilson, United States, 71, 1945, Unknown
Arthur_Kleps, Unknwon, 71, 1999, Unknown
Arthur_Pereyre, Unknwon, 71, 1934, Unknown
Arun_Kumar_Chanda, India, 48, 1947, Unknown
Ashley_Kriel, Unknwon, 21, 1987, Shooting
Ashton_Jones, United States, 83, 1979, Unknown
Athalia_Ponsell_Lindsley, Unknwon, 57, 1974, Unknown
Atul_Chandra_Ghosh, India, 80, 1961, Unknown
Aubrey_Willis_Williams, United States, 75, 1965, Unknown
Audrey_Reader, Australia, 86, 1989, Unknown
August_Bellanca, Australia, 86, 1969, Unknown
August_Bondi, Australia, 86, 1907, Unknown
August_Kowalczyk, Poland, 91, 2012, Unknown
Augusta_Jawara, Unknwon, 57, 1981, Unknown
Auguste_Schmidt, Unknwon, 57, 1902, Unknown
Augustine_Joung_Kang, Unknwon, 86, 2009, Unknown
Augustus_Granville_Dill, United States, 74, 1956, Unknown
Aurelia_Browder, United States, 52, 1971, Unknown
Aurelia_H._Reinhardt, United States, 52, 1948, Unknown
Aurelia_Spencer_Rogers, United States, 52, 1922, Unknown
Aureliano_de_Beruete, United States, 52, 1912, Unknown
Aurelio_Padovani, Italy, 37, 1926, Unknown
Aurelius_H._Piper,_Sr., United States, 92, 2008, Unknown
Aurora_Phelps, United States, 92, 1876, Unknown
Ava_Helen_Pauling, United States, 78, 1981, Unknown
Avantibai, United States, 78, 1858, Unknown
Axel_Bakunts, Armenia, 38, 1937, Unknown
Ayako_Ishigaki, United States, 93, 1996, Unknown
Ayşe_Nur_Zarakolu, Turkey, 56, 2002, Unknown
Aziz_ul_Haq, Pakistan, 33, 1972, Unknown
Azizul_Haque_(educator), India, 55, 1947, Unknown
Abba_Ahimeir, Unknwon, 65, 1962, Unknown
Abbas_Halim, Egypt, 81, 1978, Unknown
Abby_Hadassah_Smith, Egypt, 81, 1879, Unknown
Abby_Marlatt, Unknwon, 94, 2010, Unknown
Abby_May, Unknwon, 94, 1877, Unknown
Abby_Morton_Diaz, Unknwon, 94, 1904, Unknown
Abderhaman_Mami, Unknwon, 50, 1954, Unknown
Abdolreza_Rajabi, Iran, 46, 2008, Unknown
Abdul_Qaiyum_Ansari, India, 68, 1973, Unknown
Abdul_Rahim_Dard, Unknwon, 61, 1955, Unknown
Abdul_Rauf_Benawa, Afghanistan, 74, 1987, Unknown
Abdulkadir_Yahya_Ali, Somalia, 48, 2005, Unknown
Abdullah_Qaaderi, Iran, 83, 2006, Unknown
Abie_Nathan, Israel, 81, 2008, Unknown
Abraham_Adesanya, Unknwon, 86, 2008, Unknown
Abraham_Barak_Salem, India, 85, 1967, Unknown
Abraham_Blum, Unknwon, 38, 1943, Unknown
Abraham_Sarmiento,_Jr., Philippines, 27, 1977, Unknown
Abraham_Staal, Philippines, 27, 1804, Unknown
Abraham_Stavsky, Palestine, 42, 1948, Unknown
Achyut_Patwardhan, India, 87, 1992, Unknown
Ada_Lois_Sipuel_Fisher, Unknwon, 71, 1995, Unknown
Ada_Mills, United States, 89, 2001, Unknown
Ada_Norris, Australia, 88, 1989, Unknown
Adah_Belle_Thoms, Australia, 88, 1943, Unknown
Adam_Crooks_(activist), Australia, 88, 1874, Unknown
Adel_Smith, Italy, 54, 2014, Unknown
Adelaide_Anderson, Italy, 54, 1936, Unknown
Adelaide_Casely-Hayford, Italy, 54, 1960, Unknown
Adeline_Knapp, Italy, 54, 1909, Unknown
Adella_Turner, Italy, 54, 1938, Unknown
Adolph_Douai, Italy, 54, 1888, Unknown
Adrian_Leftwich, Unknwon, 73, 2013, Unknown
Agha_Bashir_Ahmed, Pakistan, 75, 1986, Unknown
Agnes_Henningsen, Pakistan, 75, 1962, Unknown
Ahmad_Ammar_Ahmad_Azam, Turkey, 20, 2013, Unknown
Ahmad_Sayyed_Javadi, Iran, 96, 2013, Unknown
Ahmad_Taqi_Sheikh_Mohammed_Rashid, Ethiopia, 32, 1974, Unknown
Ahmed_Abdalla_Rozza, Egypt, 56, 2006, Unknown
Ahmed_Abdullah_Masdoosi, Pakistan, 63, 1968, Unknown
Aileen_Anna_Maria_Garmson, Pakistan, 63, 1951, Unknown
Aimée_Bologne-Lemaire, Belgium, 94, 1998, Unknown
Ajit_Bhattacharjea, India, 87, 2011, Unknown
Akbar_Mohammadi_(student), Iran, 37, 2006, Unknown
Aki_Orr, Germany, 82, 2013, Unknown
Aladar_Imre, Unknwon, 39, 1937, Unknown
Alaiza_Pashkievich, Unknwon, 39, 1916, Unknown
Alan_Brash, New Zealand, 89, 2002, Unknown
Alan_Hancock, United Kingdom, 75, 1989, Unknown
Alan_Reich, United States, 75, 2005, Unknown
Bang_Jeong-hwan, Unknwon, 32, 1931, Unknown
Barbara_Brenner, United States, 62, 2013, Unknown
Barbara_Curthoys, Australia, 76, 2000, Unknown
Barbara_Fiske_Calhoun, United States, 95, 2014, Unknown
Barbara_Handman, United States, 85, 2013, Unknown
Barbara_Margolis, United States, 80, 2009, Unknown
Baro_Tumsa, Ethiopia, 40, 1978, Unknown
Barry_Mason_(cyclist), Unknwon, 61, 2011, Unknown
Barry_Streek, South Africa, 58, 2006, Unknown
Baruch_Hirson, Unknwon, 78, 1999, Unknown
Baruch_Zuckerman, Israel, 83, 1970, Unknown
Basil_Atkinson, Unknwon, 76, 1971, Unknown
Beatrix_Lyall, Unknwon, 76, 1948, Unknown
Beatríz_Peniche_Barrera, Mexico, 83, 1976, Unknown
Beauty_Turner, Unknwon, 51, 2008, Unknown
Becky_Edelsohn, Ukraine, 81, 1973, Unknown
Bella_Guerin, Ukraine, 81, 1923, Unknown
Belle_Moskowitz, Ukraine, 81, 1933, Unknown
Belle_Sherwin, Ukraine, 81, 1955, Unknown
Ben_Fletcher, United States, 59, 1949, Unknown
Ben_Salmon, United States, 43, 1932, Unknown
Ben_White_(environmentalist), United States, 43, 2005, Unknown
Benjamin_%22Pap%22_Singleton, United States, 43, 1892, Unknown
Benjamin_LeBaron, United States, 33, 2009, Unknown
